PostcodeStub,Freq,Fixed_Postcode
OX4,62829,Oxford
OX16,61788,Banbury
OX14,43753,Abingdon
OX3,42162,Oxford
OX26,34613,Bicester
OX11,34529,Didcot
OX2,32289,Oxford
OX28,29222,Witney
OX5,28455,Kidlington
OX7,26815,Chipping Norton
OX12,25790,Wantage
OX29,24215,Witney
OX10,23685,Wallingford
OX18,23646,"Bampton, Burford, Carterton"
OX17,20490,Banbury
NN13,20209,Northampton
OX15,18699,Banbury
OX1,17223,Oxford
OX13,13583,Abingdon
OX9,11715,Thame
OX25,9586,Bicester
OX44,8151,Oxford
OX33,8075,Oxford
SN7,8064,Swindon
NN11,6653,Northampton
SL6,5460,Slough
OX27,5351,Bicester
ZZ99,5251,Other Regions
OX20,5236,Woodstock
HP18,4940,Hemel Hempstead
SL1,4604,Slough
MK18,4495,Milton Keynes
HP13,4015,Hemel Hempstead
SN3,3978,Swindon
RG9,3721,Reading
OX49,3620,Watlington
SN2,3561,Swindon
SL2,3465,Slough
RG30,3334,Reading
HP21,3316,Hemel Hempstead
HP12,2722,Hemel Hempstead
SL4,2716,Slough
RG2,2699,Reading
MK6,2667,Milton Keynes
SL3,2665,Slough
HP19,2656,Hemel Hempstead
NN3,2589,Northampton
CV36,2523,Other regions
RG1,2471,Reading
MK3,2458,Milton Keynes
RG4,2427,Reading
SL7,2426,Slough
RG8,2357,Reading
LU7,2345,Other regions
HP14,2280,Hemel Hempstead
GL7,2147,Other regions
RG14,2144,Reading
MK14,2140,Milton Keynes
MK4,2102,Milton Keynes
HP22,2084,Hemel Hempstead
SN5,2014,Swindon
MK17,1995,Milton Keynes
RG6,1988,Reading
OX39,1986,Chinnor
HP5,1933,Hemel Hempstead
RG5,1885,Reading
SN25,1832,Swindon
MK16,1788,Milton Keynes
RG31,1786,Reading
MK13,1771,Milton Keynes
SN8,1751,Swindon
SN1,1749,Swindon
HP10,1744,Hemel Hempstead
RG12,1716,Reading
RG7,1683,Reading
SN6,1670,Swindon
MK2,1655,Milton Keynes
HP20,1604,Hemel Hempstead
HP15,1601,Hemel Hempstead
RG10,1564,Reading
RG17,1557,Reading
RG18,1529,Reading
HP17,1419,Hemel Hempstead
HP27,1419,Hemel Hempstead
NN12,1378,Northampton
RG41,1355,Reading
GL54,1346,Other regions
NN5,1339,Northampton
GL56,1332,Other regions
SN4,1320,Swindon
HP11,1300,Hemel Hempstead
RG40,1297,Reading
HP23,1291,Hemel Hempstead
JE2,1265,Other regions
RG20,1255,Reading
NN4,1207,Northampton
RG19,1142,Reading
CV35,1103,Other regions
SL9,1089,Slough
MK46,1083,Milton Keynes
NN2,1080,Northampton
HP9,1071,Hemel Hempstead
NN8,1034,Northampton
JE3,1022,Other regions
MK12,1021,Milton Keynes
MK7,999,Milton Keynes
CV47,995,Other regions
NN7,976,Northampton
MK8,970,Milton Keynes
MK19,924,Milton Keynes
SN10,897,Swindon
HP16,891,Hemel Hempstead
NN6,864,Northampton
NN1,858,Northampton
SL5,846,Slough
HP6,812,Hemel Hempstead
GL51,809,Other regions
MK10,799,Milton Keynes
MK11,796,Milton Keynes
NN14,796,Northampton
MK5,793,Milton Keynes
RG42,764,Reading
NN10,697,Northampton
NN15,694,Northampton
GL52,690,Other regions
MK15,669,Milton Keynes
SN11,639,Swindon
SN15,604,Swindon
SN16,601,Swindon
NN18,571,Northampton
HP8,552,Hemel Hempstead
SL0,522,Slough
NN16,517,Northampton
GL20,485,Other regions
HP7,463,Hemel Hempstead
GL3,440,Other regions
GL2,439,Other regions
CV37,438,Other regions
SL8,428,Slough
WR11,414,Other regions
RG22,409,Reading
GL53,406,Other regions
UB9,388,Other regions
RG26,385,Reading
GL4,372,Other regions
HP4,348,Hemel Hempstead
GL55,341,Other regions
SN9,330,Swindon
RG24,322,Reading
RG45,322,Reading
MK43,312,Milton Keynes
NN9,311,Northampton
SO30,308,Other regions
GL15,304,Other regions
PO13,291,Other regions
LU3,277,Other regions
GL50,269,Other regions
DA10,261,Other regions
SP10,261,Other regions
NN17,259,Northampton
GL6,252,Other regions
SN14,248,Swindon
GL1,245,Other regions
TW17,239,Other regions
MK9,233,Milton Keynes
BA14,232,Other regions
WD3,229,Other regions
NN29,220,Northampton
SP11,219,Other regions
BN13,209,Other regions
GL5,208,Other regions
LU6,207,Other regions
SO15,207,Other regions
SO45,205,Other regions
SO18,196,Other regions
LE16,193,Other regions
RG27,193,Reading
UB8,190,Other regions
CF62,188,Other regions
MK42,185,Milton Keynes
WR12,184,Other regions
BA2,179,Other regions
CV32,171,Other regions
SO16,171,Other regions
PE28,168,Other regions
PO8,167,Other regions
SN26,164,Swindon
PO5,163,Other regions
TW19,161,Other regions
GL17,159,Other regions
SO50,158,Other regions
GU47,156,Other regions
SO31,155,Other regions
BH11,154,Other regions
HP1,152,Hemel Hempstead
PO20,149,Other regions
GU34,148,Other regions
GL14,147,Other regions
RG23,147,Reading
TW15,144,Other regions
BS37,141,Other regions
NW3,141,Other regions
PO6,134,Other regions
GL11,133,Other regions
SP2,132,Other regions
CM19,127,Other regions
CV2,126,Other regions
CV10,125,Other regions
OX8,125,Other regions
BN14,124,Other regions
RG21,120,Reading
HP3,119,Hemel Hempstead
MK45,119,Milton Keynes
BA12,118,Other regions
BH12,118,Other regions
RH20,118,Other regions
CV22,116,Other regions
WD17,115,Other regions
HP2,114,Hemel Hempstead
SO23,114,Other regions
TA6,113,Other regions
PL9,112,Other regions
GL8,111,Other regions
GL18,108,Other regions
HA8,108,Other regions
RG25,108,Reading
CM22,107,Other regions
PO9,106,Other regions
BN21,105,Other regions
CV6,105,Other regions
LU5,103,Other regions
SG1,103,Other regions
SN12,102,Swindon
CV31,101,Other regions
E1,101,Other regions
CV7,100,Other regions
TW20,100,Other regions
CV23,97,Other regions
BN3,95,Other regions
CV12,94,Other regions
GU20,94,Other regions
BH15,93,Other regions
CV34,93,Other regions
PO2,93,Other regions
CO2,92,Other regions
SO51,92,Other regions
SW4,92,Other regions
CT19,91,Other regions
MK40,90,Milton Keynes
TR11,90,Other regions
GU14,88,Other regions
BH22,87,Other regions
GL19,87,Other regions
BH20,86,Other regions
CV1,85,Other regions
CV8,85,Other regions
NG8,85,Other regions
NR5,85,Other regions
WR8,85,Other regions
DT11,84,Other regions
EX13,84,Other regions
SO19,84,Other regions
WR4,84,Other regions
EN3,83,Other regions
GU52,83,Other regions
BH17,82,Other regions
SP4,82,Other regions
SS2,82,Other regions
DT2,81,Other regions
SA19,81,Other regions
BH25,80,Other regions
GL10,80,Other regions
RH5,79,Other regions
IP9,78,Other regions
LU2,78,Other regions
N8,78,Other regions
S9,78,Other regions
UB1,78,Other regions
UB10,77,Other regions
BH23,76,Other regions
BS7,75,Other regions
HR1,75,Other regions
LE3,75,Other regions
RM10,75,Other regions
PO33,74,Other regions
RM20,74,Other regions
DY8,73,Other regions
BN27,72,Other regions
GU10,72,Other regions
HA5,72,Other regions
LU1,72,Other regions
RM6,71,Other regions
EX39,70,Other regions
MK41,70,Milton Keynes
BS16,69,Other regions
SN13,69,Swindon
SP5,69,Other regions
BT34,68,Other regions
CV11,68,Other regions
CV4,68,Other regions
GU35,68,Other regions
SP6,68,Other regions
SW19,68,Other regions
BS34,67,Other regions
S11,67,Other regions
SO22,66,Other regions
CB2,65,Other regions
HR6,65,Other regions
IP3,65,Other regions
PO22,65,Other regions
RM1,65,Other regions
SP9,65,Other regions
BD21,64,Other regions
AL4,63,Other regions
CV3,63,Other regions
GU15,63,Other regions
GU23,63,Other regions
HA3,63,Other regions
SK23,63,Other regions
EX12,62,Other regions
GU9,62,Other regions
HA4,62,Other regions
PO1,62,Other regions
W5,62,Other regions
BH10,61,Other regions
BS8,61,Other regions
NG2,61,Other regions
OX6,61,Other regions
SS5,61,Other regions
WR10,61,Other regions
LE4,60,Other regions
RM12,60,Other regions
SP1,60,Other regions
WR6,60,Other regions
B69,59,Other regions
CH3,59,Other regions
DA6,59,Other regions
PO12,59,Other regions
PE20,58,Other regions
SO24,58,Other regions
NG6,57,Other regions
SW16,57,Other regions
TN23,57,Other regions
BH8,56,Other regions
CV5,56,Other regions
SW6,56,Other regions
DD4,55,Other regions
GU11,55,Other regions
GU25,55,Other regions
LE14,55,Other regions
WS3,55,Other regions
B6,54,Other regions
HA7,54,Other regions
BF1,53,Other regions
BN16,53,Other regions
LE10,53,Other regions
PR8,53,Other regions
BA11,52,Other regions
BS22,52,Other regions
N22,52,Other regions
CO7,51,Other regions
GU5,51,Other regions
GU51,51,Other regions
ME3,51,Other regions
PO36,50,Other regions
AL5,49,Other regions
TQ2,49,Other regions
DT5,48,Other regions
EC1N,48,Other regions
EN8,48,Other regions
KT11,48,Other regions
SO21,48,Other regions
HR9,47,Other regions
TN9,47,Other regions
CT4,46,Other regions
DE7,46,Other regions
MK1,46,Milton Keynes
NW9,46,Other regions
SK8,46,Other regions
TF10,46,Other regions
AL3,45,Other regions
B76,45,Other regions
LN2,45,Other regions
NG34,45,Other regions
UB3,45,Other regions
B11,44,Other regions
BH31,44,Other regions
HA6,44,Other regions
LE2,44,Other regions
NG31,44,Other regions
PL12,44,Other regions
PL4,44,Other regions
ST5,44,Other regions
SW11,44,Other regions
W13,44,Other regions
WR2,44,Other regions
WS13,44,Other regions
WV6,44,Other regions
B80,43,Other regions
GU46,43,Other regions
RM7,43,Other regions
SO40,43,Other regions
B93,42,Other regions
CB9,42,Other regions
PR7,42,Other regions
TW14,42,Other regions
W1G,42,Other regions
N17,41,Other regions
PO21,41,Other regions
RG28,41,Reading
SS17,41,Other regions
WR14,41,Other regions
B12,40,Other regions
BH1,40,Other regions
BS20,40,Other regions
BS4,40,Other regions
CF15,40,Other regions
CT11,40,Other regions
CV21,40,Other regions
DA5,40,Other regions
TA24,40,Other regions
TW18,40,Other regions
CO13,39,Other regions
DT10,39,Other regions
IG11,39,Other regions
LE12,39,Other regions
ST16,39,Other regions
SW1P,39,Other regions
B98,38,Other regions
BS31,38,Other regions
CO9,38,Other regions
CV33,38,Other regions
IG6,38,Other regions
B49,37,Other regions
BS2,37,Other regions
CM6,37,Other regions
GU22,37,Other regions
N16,37,Other regions
PE19,37,Other regions
SE9,37,Other regions
B45,36,Other regions
BN43,36,Other regions
CF63,36,Other regions
DY9,36,Other regions
HA9,36,Other regions
KT22,36,Other regions
PR6,36,Other regions
SY1,36,Other regions
B97,35,Other regions
BA3,35,Other regions
BH24,35,Other regions
BT42,35,Other regions
DT3,35,Other regions
E17,35,Other regions
HR8,35,Other regions
LE15,35,Other regions
NW4,35,Other regions
S71,35,Other regions
SO20,35,Other regions
SS16,35,Other regions
TN31,35,Other regions
BS3,34,Other regions
BT44,34,Other regions
CH5,34,Other regions
GY1,34,Other regions
LL29,34,Other regions
M13,34,Other regions
ME13,34,Other regions
NW11,34,Other regions
PL25,34,Other regions
TN4,34,Other regions
W2,34,Other regions
YO12,34,Other regions
B14,33,Other regions
BH21,33,Other regions
BN1,33,Other regions
BN25,33,Other regions
GU24,33,Other regions
GU7,33,Other regions
GY2,33,Other regions
PE7,33,Other regions
SS9,33,Other regions
WR5,33,Other regions
B73,32,Other regions
BA13,32,Other regions
BN11,32,Other regions
CV13,32,Other regions
M16,32,Other regions
N4,32,Other regions
RG29,32,Reading
RH4,32,Other regions
SY20,32,Other regions
BH3,31,Other regions
BS24,31,Other regions
CT6,31,Other regions
E10,31,Other regions
NE31,31,Other regions
NG24,31,Other regions
PE13,31,Other regions
SA20,31,Other regions
WD4,31,Other regions
BA4,30,Other regions
BN18,30,Other regions
CO6,30,Other regions
CR0,30,Other regions
CV9,30,Other regions
DE23,30,Other regions
DT4,30,Other regions
GL12,30,Other regions
IG2,30,Other regions
LE7,30,Other regions
LE9,30,Other regions
M22,30,Other regions
N1,30,Other regions
S40,30,Other regions
SO17,30,Other regions
SO53,30,Other regions
TQ12,30,Other regions
W12,30,Other regions
WD25,30,Other regions
BH6,29,Other regions
BS9,29,Other regions
BT71,29,Other regions
DA12,29,Other regions
NP10,29,Other regions
PL14,29,Other regions
SS0,29,Other regions
TA20,29,Other regions
BA21,28,Other regions
BS5,28,Other regions
DT9,28,Other regions
EX8,28,Other regions
GU12,28,Other regions
GU4,28,Other regions
NW2,28,Other regions
PE8,28,Other regions
PL26,28,Other regions
SE22,28,Other regions
SW20,28,Other regions
WD19,28,Other regions
AL10,27,Other regions
IG5,27,Other regions
KT18,27,Other regions
LE11,27,Other regions
LN1,27,Other regions
N7,27,Other regions
NP16,27,Other regions
PO11,27,Other regions
SY22,27,Other regions
BB4,26,Other regions
BS23,26,Other regions
DE15,26,Other regions
HR4,26,Other regions
HU9,26,Other regions
PL3,26,Other regions
SG4,26,Other regions
SO14,26,Other regions
TA10,26,Other regions
W11,26,Other regions
W3,26,Other regions
WS7,26,Other regions
B26,25,Other regions
B33,25,Other regions
DA8,25,Other regions
DT6,25,Other regions
DY6,25,Other regions
GU21,25,Other regions
LN4,25,Other regions
NR21,25,Other regions
RH17,25,Other regions
RH7,25,Other regions
B21,24,Other regions
B95,24,Other regions
BN6,24,Other regions
CM7,24,Other regions
E14,24,Other regions
E6,24,Other regions
EN6,24,Other regions
EX10,24,Other regions
L23,24,Other regions
NW6,24,Other regions
SE15,24,Other regions
SO41,24,Other regions
ST13,24,Other regions
SY7,24,Other regions
TA12,24,Other regions
TR16,24,Other regions
TW5,24,Other regions
UB6,24,Other regions
WD6,24,Other regions
WS9,24,Other regions
BD20,23,Other regions
BH14,23,Other regions
BS35,23,Other regions
CO15,23,Other regions
EX32,23,Other regions
N21,23,Other regions
NE32,23,Other regions
PE11,23,Other regions
PO7,23,Other regions
SW15,23,Other regions
TA8,23,Other regions
TQ5,23,Other regions
TR20,23,Other regions
TW16,23,Other regions
UB7,23,Other regions
W8,23,Other regions
WV8,23,Other regions
B70,22,Other regions
BB9,22,Other regions
BN12,22,Other regions
CH45,22,Other regions
CH63,22,Other regions
EX14,22,Other regions
GY7,22,Other regions
IP22,22,Other regions
IP25,22,Other regions
KT6,22,Other regions
LE17,22,Other regions
M35,22,Other regions
NR19,22,Other regions
NW8,22,Other regions
PE16,22,Other regions
PE21,22,Other regions
PE29,22,Other regions
PL11,22,Other regions
PR4,22,Other regions
RH2,22,Other regions
RH8,22,Other regions
TN34,22,Other regions
TR15,22,Other regions
WV11,22,Other regions
BA16,21,Other regions
BH5,21,Other regions
BS15,21,Other regions
DN37,21,Other regions
E2,21,Other regions
GL9,21,Other regions
IP11,21,Other regions
LD3,21,Other regions
LN6,21,Other regions
LU4,21,Other regions
NG19,21,Other regions
NP4,21,Other regions
PL20,21,Other regions
PO15,21,Other regions
RH19,21,Other regions
SM4,21,Other regions
SO32,21,Other regions
B61,20,Other regions
B90,20,Other regions
BA1,20,Other regions
BB5,20,Other regions
BH19,20,Other regions
BN44,20,Other regions
EX2,20,Other regions
GL16,20,Other regions
LE18,20,Other regions
NP44,20,Other regions
NW10,20,Other regions
PO18,20,Other regions
SW12,20,Other regions
TQ4,20,Other regions
B9,19,Other regions
BA9,19,Other regions
CA4,19,Other regions
CF82,19,Other regions
HG5,19,Other regions
IP14,19,Other regions
KT15,19,Other regions
KT5,19,Other regions
N15,19,Other regions
NP20,19,Other regions
PO4,19,Other regions
S7,19,Other regions
TA1,19,Other regions
TA18,19,Other regions
TW4,19,Other regions
TW7,19,Other regions
WR13,19,Other regions
WV12,19,Other regions
WV3,19,Other regions
B13,18,Other regions
B60,18,Other regions
BD12,18,Other regions
BN2,18,Other regions
BS21,18,Other regions
CB3,18,Other regions
DD11,18,Other regions
DE56,18,Other regions
DL10,18,Other regions
DN35,18,Other regions
LA12,18,Other regions
LE8,18,Other regions
LN9,18,Other regions
NE3,18,Other regions
NW1,18,Other regions
RG3,18,Reading
TA4,18,Other regions
TA7,18,Other regions
TR9,18,Other regions
TW12,18,Other regions
W7,18,Other regions
WR1,18,Other regions
B17,17,Other regions
B46,17,Other regions
B71,17,Other regions
BS30,17,Other regions
BS40,17,Other regions
CW6,17,Other regions
DA13,17,Other regions
DE24,17,Other regions
EX4,17,Other regions
EX6,17,Other regions
GU2,17,Other regions
GU28,17,Other regions
HU17,17,Other regions
IP23,17,Other regions
LE5,17,Other regions
N19,17,Other regions
PL31,17,Other regions
RH11,17,Other regions
RM17,17,Other regions
SA32,17,Other regions
YO25,17,Other regions
B20,16,Other regions
BA15,16,Other regions
CF23,16,Other regions
CT14,16,Other regions
DY10,16,Other regions
EX17,16,Other regions
FY5,16,Other regions
LS25,16,Other regions
N10,16,Other regions
NE6,16,Other regions
NG5,16,Other regions
NR11,16,Other regions
OL12,16,Other regions
PL21,16,Other regions
PO10,16,Other regions
RH10,16,Other regions
RH14,16,Other regions
SP7,16,Other regions
TR1,16,Other regions
W6,16,Other regions
WR9,16,Other regions
WS10,16,Other regions
WV10,16,Other regions
AL8,15,Other regions
B18,15,Other regions
B30,15,Other regions
B63,15,Other regions
B64,15,Other regions
CF39,15,Other regions
GU27,15,Other regions
GY6,15,Other regions
N20,15,Other regions
PE9,15,Other regions
PL6,15,Other regions
PO16,15,Other regions
SS7,15,Other regions
SW8,15,Other regions
TN28,15,Other regions
TR27,15,Other regions
AL1,14,Other regions
BH9,14,Other regions
BS1,14,Other regions
CF11,14,Other regions
CF38,14,Other regions
CF47,14,Other regions
CM0,14,Other regions
CM16,14,Other regions
CM2,14,Other regions
CM23,14,Other regions
DE12,14,Other regions
DE14,14,Other regions
E16,14,Other regions
FY6,14,Other regions
GU6,14,Other regions
KT2,14,Other regions
N14,14,Other regions
NR34,14,Other regions
PE22,14,Other regions
PO3,14,Other regions
S20,14,Other regions
S32,14,Other regions
SA61,14,Other regions
SP3,14,Other regions
SW2,14,Other regions
SY3,14,Other regions
W14,14,Other regions
WF10,14,Other regions
B32,13,Other regions
B38,13,Other regions
B91,13,Other regions
BT48,13,Other regions
CB24,13,Other regions
CF31,13,Other regions
CM9,13,Other regions
DE55,13,Other regions
DT1,13,Other regions
E18,13,Other regions
